antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({1221}),frozenset({858}),0.20655737704918034,0.2983606557377049,0.2,0.9682539682539683,3.245246816675388,0.13837140553614619,22.101639344262296
"frozenset({1196, 1198})",frozenset({260}),0.23278688524590163,0.3918032786885246,0.22459016393442624,0.9647887323943662,2.4624314927220223,0.13338349905939265,17.272786885245925
"frozenset({1210, 2571, 260})",frozenset({1196}),0.21475409836065573,0.3344262295081967,0.20655737704918034,0.9618320610687023,2.876066457117198,0.13473797366299384,17.438032786885266
"frozenset({1210, 2571, 1196})",frozenset({260}),0.21639344262295082,0.3918032786885246,0.20655737704918034,0.9545454545454546,2.4362875618105746,0.12177371674281108,13.38032786885247
"frozenset({5952, 7153})",frozenset({4993}),0.24918032786885247,0.30327868852459017,0.23770491803278687,0.9539473684210525,3.1454480796586055,0.16213383499059392,15.12880562060887
"frozenset({1210, 1196})",frozenset({260}),0.25245901639344265,0.3918032786885246,0.23934426229508196,0.9480519480519479,2.419714177036352,0.14042999193765116,11.707786885245872
"frozenset({296, 1196})",frozenset({260}),0.21475409836065573,0.3918032786885246,0.20163934426229507,0.9389312977099237,2.3964355297198887,0.11749798441279224,9.959221311475412
"frozenset({480, 318})",frozenset({356}),0.23278688524590163,0.521311475409836,0.2180327868852459,0.9366197183098592,1.7966604659402963,0.09667831228164474,7.55264116575593
"frozenset({4993, 7153})",frozenset({5952}),0.2540983606557377,0.28852459016393445,0.23770491803278687,0.9354838709677419,3.242302052785923,0.16439129266326255,11.027868852459008
"frozenset({1196, 356})",frozenset({260}),0.22459016393442624,0.3918032786885246,0.2081967213114754,0.9270072992700729,2.3660018935344955,0.12020155872077397,8.332295081967198
"frozenset({2571, 1196})",frozenset({260}),0.26557377049180325,0.3918032786885246,0.2459016393442623,0.925925925925926,2.363241902990857,0.14184896533190003,8.210655737704931
"frozenset({5952, 2571})",frozenset({4993}),0.2180327868852459,0.30327868852459017,0.20163934426229507,0.9248120300751879,3.0493802072749436,0.1355146466003762,9.266393442622938
"frozenset({593, 1196})",frozenset({260}),0.21639344262295082,0.3918032786885246,0.2,0.9242424242424243,2.3589450995308736,0.11521633969363075,8.028196721311483
"frozenset({5952, 4993})",frozenset({7153}),0.2573770491803279,0.28852459016393445,0.23770491803278687,0.9235668789808916,3.2009988419224085,0.16344531040042998,9.30846994535518
"frozenset({318, 47})",frozenset({296}),0.22950819672131148,0.47540983606557374,0.21147540983606558,0.9214285714285715,1.9381773399014781,0.10236495565708144,6.676602086438157
"frozenset({1210, 2571})",frozenset({1196}),0.2360655737704918,0.3344262295081967,0.21639344262295082,0.9166666666666666,2.741013071895425,0.13744692287019616,7.986885245901635
"frozenset({7153, 2571})",frozenset({4993}),0.22459016393442624,0.30327868852459017,0.20491803278688525,0.9124087591240876,3.0084829354902345,0.13680462241332975,7.954234972677595
"frozenset({1210, 2571})",frozenset({260}),0.2360655737704918,0.3918032786885246,0.21475409836065573,0.9097222222222222,2.321885169688517,0.12226283257188926,6.736948297604035
"frozenset({260, 1198})",frozenset({1196}),0.24754098360655738,0.3344262295081967,0.22459016393442624,0.9072847682119206,2.7129593559278016,0.1418059661381349,7.17868852459017
"frozenset({593, 47})",frozenset({296}),0.23278688524590163,0.47540983606557374,0.2098360655737705,0.9014084507042254,1.8960660514813017,0.09916689062080088,5.320843091334896
"frozenset({296, 480})",frozenset({356}),0.24754098360655738,0.521311475409836,0.22295081967213115,0.9006622516556292,1.7276854512891002,0.09390486428379469,4.818797814207653
"frozenset({2571, 260})",frozenset({1196}),0.2754098360655738,0.3344262295081967,0.2459016393442623,0.8928571428571428,2.669817927170868,0.15379736629938187,6.212021857923493
frozenset({1196}),frozenset({260}),0.3344262295081967,0.3918032786885246,0.2983606557377049,0.8921568627450981,2.2770530806464846,0.16733136253695244,5.639642324888229
frozenset({5952}),frozenset({4993}),0.28852459016393445,0.30327868852459017,0.2573770491803279,0.8920454545454546,2.9413390663390664,0.16987368986831497,6.453839516824852
"frozenset({356, 2959})",frozenset({2571}),0.24262295081967214,0.43278688524590164,0.21639344262295082,0.8918918918918919,2.060810810810811,0.11138941144853534,5.24672131147541
frozenset({1210}),frozenset({260}),0.30491803278688523,0.3918032786885246,0.27049180327868855,0.8870967741935485,2.264138210284789,0.1510239183015319,5.386885245901644
"frozenset({1210, 260})",frozenset({1196}),0.27049180327868855,0.3344262295081967,0.23934426229508196,0.8848484848484848,2.6458704693998807,0.14888470841171725,5.779982743744603
"frozenset({356, 47})",frozenset({296}),0.23442622950819672,0.47540983606557374,0.20655737704918034,0.8811188811188811,1.8533879913190259,0.09510884170921798,4.412729026036645
frozenset({7153}),frozenset({4993}),0.28852459016393445,0.30327868852459017,0.2540983606557377,0.8806818181818181,2.9038697788697787,0.1665950013437248,5.839188134270098
"frozenset({480, 110})",frozenset({356}),0.23934426229508196,0.521311475409836,0.2098360655737705,0.8767123287671234,1.681743775308004,0.08506315506584253,3.882695810564665
"frozenset({1210, 2571})","frozenset({1196, 260})",0.2360655737704918,0.2983606557377049,0.20655737704918034,0.875,2.9326923076923075,0.13612469766191884,5.61311475409836
"frozenset({4993, 2571})",frozenset({7153}),0.23442622950819672,0.28852459016393445,0.20491803278688525,0.8741258741258742,3.0296408137317226,0.13728030099435634,5.6522768670309675
"frozenset({50, 356})",frozenset({296}),0.23442622950819672,0.47540983606557374,0.20491803278688525,0.8741258741258742,1.838678562816494,0.09346949744692289,4.167577413479054
